keyword,language,author,twitter_name,create_at,location,text,hashtag,tweets_count,retweet_count,favourite_count,date,time,sentiment
neymar,th,MeL ☔,@neymar__xi,2022-04-22 15:15:05+00:00,,ตัวปุ้กปิ้กมากกก 🤏🏻 https://t.co/Qhuj3QetAt,,5,4,6,22/04/2022,15:15,neutral
neymar,en,yeet,@messi_____30,2022-04-22 23:59:10+00:00,,Unpopular Opinion: Neymar was a better player for Barcelona than Ronaldhino,,1,0,0,22/04/2022,23:59,positive
neymar,en,Manal ✨,@njr_manal,2022-04-22 23:58:26+00:00,Morocco,I'm sure seeing Neymar will be enough to lift up my mood 🥺,,1,0,0,22/04/2022,23:58,positive
neymar,en,Manal ✨,@njr_manal,2022-04-22 23:57:55+00:00,Morocco,"God, I'm so pissed off. I just hope tomorrow's psg game and Neymar could make up for this annoyance I'm feeling 😭",,1,0,1,22/04/2022,23:57,negative
neymar,en,Nycu,@fxnycu,2022-04-22 23:55:38+00:00,Portfolio →,"Neymar JR wallpaper // Time of work - 1 hour // Avalaible now on Behance,Pinterest &amp; Instagram // Behance - @nycufx Pinterest - @fxnycu Instagram - @fxnycu https://t.co/NovlxBftuJ",,2,1,11,22/04/2022,23:55,neutral
neymar,en,Memorabilia Football Shirts,@MemorabiliaFooC,2022-04-22 23:54:34+00:00,,PSG Football Shirt 2021/22 Soccer Jersey Paris Neymar Jr BNWT https://t.co/Vtpy6tpbPj eBay https://t.co/DDxtnBOGLy,,1,0,0,22/04/2022,23:54,neutral
neymar,en,21,@covercianograd,2022-04-22 23:51:24+00:00,Earth,There will never be another Neymar Jr. https://t.co/411BOFYrA1,,7,6,29,22/04/2022,23:51,neutral
neymar,en,Nicolas Mairata,@nicomairata,2022-04-22 23:47:40+00:00,,imagine if Neymar was narrow-minded,,1,0,0,22/04/2022,23:47,neutral
neymar,en,Kashif Ahmad Khan,@TheKhanSoft,2022-04-22 23:46:05+00:00,"Charsadda, Pakistan",Famous #football star #Neymar Jr bought two Bored #Ape #Yacht Club #NFTs for over $1.1 million. The acquisition of #Bored Ape Yacht Club NFTs by a football celebrity has ignited a bullish outlook among investors. https://t.co/mlI4Gf2Xlk,/football/Neymar/Ape/Yacht/NFTs/Bored,1,0,1,22/04/2022,23:46,negative
neymar,en,Km96,@Km96_,2022-04-22 23:44:34+00:00,"Hawthorne, CA",@MadridXtra @le_Parisien @hadrien_grenier How many more “right players” does he need? Messi neymar? Wtf,,1,0,0,22/04/2022,23:44,negative
neymar,en,Farhan,@CuleDelBarca10,2022-04-22 23:44:23+00:00,Twitter,@Erebus030 Mine too except for Neymar I stop supporting them,,1,0,1,22/04/2022,23:44,positive
neymar,en,Zii,@Zii_PSG,2022-04-22 23:38:47+00:00,,Neymar but i dont even know if you can call it a weak foot https://t.co/UP4KoUYIkK,,1,0,6,22/04/2022,23:38,negative
neymar,en,Ronin_MUFC3412,@Mufc3412Ronin,2022-04-22 23:38:25+00:00,,"@DdDd97212974 Neymar would’ve been still rolling in ICU, TAA would’ve been s!apped to moon",,1,0,1,22/04/2022,23:38,neutral
